'10',,'en','http://psychinfo.org/limesurvey/index.php?lang=en&sid=23914&token=yyihrx7pbtbaev5',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11','03-09-2013 16:03:25','en',,'8','1','32','S04A2','1','0','1','0','0',,'Group Psychotherapy,','A1','1','0','1','1','1','0',,,'1','1','1','1','A2',,'Cognitive Behavioural Therapy  Group Psychotherapy','5','5','5','5','0',,'A1','A2','A1','A2','A2','A1','1','0','D','SD','SD',,,,,,,,,,,,,,,,,,,
'12','04-09-2013 09:41:59','en',,'8','2','40','S0410','1','0','1','0','0',,'Group analysis, emdr, hypnotherapy','A1','1','1','0','0','1','0','emdr, hypnotherapy',,'1','2','1','1','A1',,'Group analysis, emdr','0','3','0','0','0',,'A1','A1','A1','A1','A1','A1','1','12','SD','D','SD','1','1','1','1','1','1','1','1','1','3','3','3','1','3','3','3','3','3',
'13','05-09-2013 16:10:17','en',,'8','1','36','S0410','1','0','1','0','0',,'Transactional analysis, Personal Centered Psychotherapy, EMDR','A1','1','1','0','1','0','0',,,'1','2','1','2','A1',,'Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Counselling, Group Psychotherapy, Therapeutic Community','4','4','1','0','0',,'A1','A1','A1','A3','A2','A1','1','0','SD','NAD','SD','3',,'1','1',,,'1','3','3','3',,'2','2',,,'3','3','2',
'14','09-09-2013 21:42:42','en','http://psychinfo.org/limesurvey/index.php?lang=en&sid=23914&token=yyihrx7pbtbaev5','8','1','27','S04A1','2','0','0','1','0',,,'A1','1','0','1','1','0','0',,,'2','2','2','2','A2',,'cognitive bihevioral therapy   psychodinamic therapy  group therapy','0','0','0','0','0',,'A1','A1','A1','A1','A1','A1','1','20','NAD','D','SD',,,,,,,,,,,,,,,,,,,
'15','10-09-2013 09:27:24','en',,'8','1','32','S04A1','2','0','0','1','0',,,'A1','1','0','1','0','0','0',,,'1','1','3','3','A2',,'Family and Marital Therapy, Therapeutic Community, Group Psychotherapy,','0','3','9','10','5',,'A1','A1','A2','A3','A2','A2','1','10','D','D','D','1','3','3','1','3','3','1','1','3','2','3','3','3','3','1','3','3','1',
'16','11-09-2013 22:17:36','en',,'8','2','32','S04A1','2','0','0','1','0',,,'A1','1','1','1','0','0','0',,,'1','1','1','3','A1',,'None at the moment...','0','0','0','0','0',,'A2','A3','A3','A3','A2','A1','1','10','SD','SD','SD',,,,,,,,,,,,,,,,,,,
'17','12-09-2013 21:15:54','en',,'8','1','40','S0410','1','0','1','0','0',,'Psychodynamic Psychotherapy','A1','1','1','0','0','0','0',,'Psychotherapy is the only way to treat a person, not illness. It should be the core of psychiatric approach.','2','2','2','2','A2',,'"none"','5','0','0','0','0',,'A1','A1','A3','A3','A2','A1','1','25','A','A','NAD',,,,,,,,,,,,,,,,,,,'I live and work as psychiatrist in Bosnia and my psychotherapy training is in Croatia because there''s no psychoanalytic therapy training or qualified IPA psychoanalyst in my country.'
'18',,'en',,,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'19',,'en',,'8','1','40','S04A5','2','0','0','1','0',,,'A2','2','0','1','1','1','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20','19-09-2013 10:48:41','en',,'8','1','40','S04A5','2','0','0','1','0',,,'A2','2','0','1','0','0','0',,'No comment','2','2','2','2','A2',,'Psychodynamic (Psychoanalytic) Psychotherapy  Cognitive Behavioural Psychotherapy  Family / Systemic Therapy  Group modalities of psychotherapies','0','0','0','0','0',,'A3','A3','A3','A3','A3','A3','1','0','NAD','NAD','NAD',,,,,,,,,,,,,,,,,,,'No comment'
'21',,'en',,'10','1','34','S04A8','1','0','1','0','0',,'Psychdynamic Psychotherapy','A1','1','1','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22',,'en',,,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'23',,'en',,'42','1','42','S04A2','2','0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'24',,'en',,,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'25',,'en',,'8','1','42','S04A6','2','0','0','1','0',,,'A1','1','0','1','1','0','0',,'Cognitive Behavioral Pszchotherapy or Family /Systemic therapy are practise in more case','1','1',,'1','A1',,'Family /Sistemic Therapy or Cognitive Behavioural Therapy are available for tretment of patients at my hospital',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
